,OldIndex,IssueDate,PermitNo.,Ward,Parcel,Address,Owner,Contractor,WorkDescription,Cost,SNPNeighborhood(partial),TypeofWork(partial),TypeofStructure(partial)
28,5725,11/17/2015,15-E-02810,22,0023M00012000000,"320 E NORTH AVE, PITTSBURGH, PA 15212",ALLEGHENY GENERAL HOSPITAL,PRECISION ELECTRICAL,NEW ELECTRICAL,80000.0,,,
29,6065,12/1/2015,15-S-00398,2,0002B00051000000,"600 GRANT ST, PITTSBURGH, PA 15219",600 GS PROP LP,PREFERRED FIRE PROTECTION INC,RELOCATE SPRINKLER HEADS,7900.0,,,
30,6185,12/4/2015,15-B-02436,3,0009R00194000000,"1435 BEDFORD, PITTSBURGH, PA",ENERGY INNOVATION CENTER LP,MASCARO CONSTRUCTION COMPANY LP,INTERIOR RENOVATIONS TO 15880 SQ FT TO CREATE LAB SPACE ON 1ST FLOOR OF 7 & 3 STORY STRUCTURE,779000.0,,,
31,6384,12/11/2015,15-F-00281,2,0002B00051000000,"600 GRANT ST, PITTSBURGH, PA 15219",600 GS PROP LP,"HOFFMAN ELECTRIC, INC.",FIRE ALARM REVISIONS,5000.0,,,
32,6438,12/14/2015,15-B-01153,22,0023M00012000000,"320 E NORTH AVE, PITTSBURGH, PA 15212",ALLEGHENY GENERAL HOSPITAL,LANDAU BUILDING CO,INTERIOR RENOVATIONS TO CHANGE DIALYSIS SUITE TO NEUROLOGY LAB ON 4TH FLOOR OF 21 STORY HOSPITAL STRUCTURE,240000.0,,,
33,6445,12/14/2015,15-F-00284,2,0001D00080000000,"625 LIBERTY AVE, PITTSBURGH, PA 15222",LIBERTY AVENUE HOLDINGS LLC,STAR ELECTRIC,FIRE ALARM SYSTEM UPGRADE,15000.0,,,
34,6453,12/14/2015,15-F-00285,22,0023M00012000000,"320 E NORTH AVE, PITTSBURGH, PA 15212",ALLEGHENY GENERAL HOSPITAL,PRECISION ELECTRICAL,ADDITIONAL DEVICES (ASSOCIATED WITH 15-F-00206),47000.0,,,
35,6790,12/28/2015,15-E-02271,2,0001D00080000000,"625 LIBERTY AVE, PITTSBURGH, PA 15222",LIBERTY AVENUE HOLDINGS LLC,BACHMAN AND CO,NEW SIGN,1000.0,,,
36,6917,1/6/2016,15-B-03000,23,0024P00216000000,"950 PROGRESS ST, PITTSBURGH, PA 15212",SB DEVELOPMENT LP,MASCARO CONSTRUCTION COMPANY LP,RENOVATION OF EXISTING 6-STORY STRUCTURE INTO 151 MULTI-FAMILY RESIDENTIAL UNITS WITH AMENITIES SPACES. INTERIOR RENOVATIONS. EXTERIOR RENOVATIONS TO INCLUDE FACADE RENOVATIONS AND NEW WINDOWS AND DOORS ON ALL SIDES. EXTERIOR AMENITY SPACE ON LOT 24-P-210 TO INCLUDE 4 FT PERIMETER FENCE; BOCCE COURT; FIRE PIT; PICNIC TABLE AND GRILLING. 155 OFF-SITE PARKING SPACES TO BE LOCATED IN THE GARAGE ON PARCEL 24-P-25.,17949350.0,,,
37,6952,1/7/2016,15-B-03640,2,0002B00051000000,"600 GRANT ST, PITTSBURGH, PA 15219",600 GS PROP LP,MASCARO CONSTRUCTION COMPANY LP,INSTALL VIDEO WALL IN CTR FOR CONNECTED HEALTH CARE OFFICE ON 60TH FLOOR OF 62 STORY STRUCTURE (UPMC),115000.0,,,
38,7041,1/11/2016,14-B-03601,2,0001D00080000000,"625 LIBERTY AVE, PITTSBURGH, PA 15222",LIBERTY AVENUE HOLDINGS LLC,PRECISION BUILDERS INC,INTERIOR RENOVATIONS TO OFFICE SPACE ON THIRD FLOOR OF 32 STORY STRUCTURE,25600.0,,,
39,7044,1/11/2016,14-B-03601,2,0001D00080000000,"625 LIBERTY AVE, PITTSBURGH, PA 15222",LIBERTY AVENUE HOLDINGS LLC,THE DESIGN ALLIANCE,INTERIOR RENOVATIONS TO OFFICE SPACE ON THIRD FLOOR OF 32 STORY STRUCTURE,25600.0,,,
40,7147,1/15/2016,16-S-00022,2,0001D00080000000,"625 LIBERTY AVE, PITTSBURGH, PA 15222",LIBERTY AVENUE HOLDINGS LLC,SIMPLEX GRINNELL LP - BRANCH #546,ADD/RELOCATE SPRINKLER HEADS,1300.0,,,
41,7216,1/20/2016,15-B-03831,2,0008S00168000000,"12 8TH ST, PITTSBURGH, PA 15222",GENERAL LABORERS & MATERIAL HANDLERS,PERFIDO WISKOPF WAGSTAFF GOETTEL,"ON A SIX STORY STRUCTURE, INTERIOR RENOVATIONS FOR TENANT FIT OUT ON THE THIRD AND FIFTH FLOORS FOR A TOTAL OF 15,124 SQ FT AND EXTERIOR RENOVATIONS FOR NEW WINDOWS IN EXISTING MASONARY OPENINGS",1300000.0,,,
42,7217,1/20/2016,15-B-03831,2,0008S00168000000,"12 8TH ST, PITTSBURGH, PA 15222",GENERAL LABORERS & MATERIAL HANDLERS,MASCARO CONSTRUCTION COMPANY LP,"ON A SIX STORY STRUCTURE, INTERIOR RENOVATIONS FOR TENANT FIT OUT ON THE THIRD AND FIFTH FLOORS FOR A TOTAL OF 15,124 SQ FT AND EXTERIOR RENOVATIONS FOR NEW WINDOWS IN EXISTING MASONARY OPENINGS",1300000.0,,,
43,7295,1/25/2016,16-S-00031,22,0023M00012000000,"320 E NORTH AVE, PITTSBURGH, PA 15212",ALLEGHENY GENERAL HOSPITAL,PREFERRED FIRE PROTECTION INC,RELOCATE SPRINKLERS IN RADIOLOGY/MRI AREA AND CORRIDORS ON THE 1ST FLOOR,8400.0,,,
44,7430,1/29/2016,15-E-03258,2,0002B00051000000,"600 GRANT ST, PITTSBURGH, PA 15219",600 GS PROP LP,"HOFFMAN ELECTRIC, INC.","ELECTRICAL ASSOCIATED WITH 15-B-03640. INSTALL (20) OUTLETS, (20) LUMINAIRES, (20) FRACTIONAL MOTORS",10000.0,,,
45,7501,2/2/2016,16-F-00031,2,0002B00051000000,"600 GRANT ST, PITTSBURGH, PA 15219",600 GS PROP LP,"HOFFMAN ELECTRIC, INC.",ADD/RELOCATE DEVICES,900.0,,,
46,7520,2/2/2016,16-S-00043,2,0002B00051000000,"600 GRANT ST, PITTSBURGH, PA 15219",600 GS PROP LP,PREFERRED FIRE PROTECTION INC,ADD SPRINKLER HEADS,820.0,,,
47,7531,2/2/2016,16-S-00042,22,0023M00012000000,"320 E NORTH AVE, PITTSBURGH, PA 15212",ALLEGHENY GENERAL HOSPITAL,PREFERRED FIRE PROTECTION INC,RELOCATE/ADD SPRINKLER HEADS,5200.0,,,
48,7703,2/10/2016,15-M-01294,2,0002B00051000000,"600 GRANT ST, PITTSBURGH, PA 15219",600 GS PROP LP,RUTHRAUFF SAUER,NEW VAV'S 1HP MOTOR/RELOCATE DUCT WITHIN TENANT SPACE,15000.0,,,
49,7715,2/10/2016,15-B-03934,16,0030B00200000000,"3300 S WATER ST, PITTSBURGH, PA 15210",UPMC PRESBYTERIAN,MASCARO CONSTRUCTION COMPANY LP,EXTERIOR RENOVATIONS TO EXISTING ONE STORY STRUCTURE,1.0,,,
52,7796,2/12/2016,15-B-04055,21,0022J00138000000,"1650 METROPOLITAN ST, PITTSBURGH, PA 15233",UPMC PRESBYTERIAN SHADYSIDE,"INTEGRITY DESIGN, LLC","IN A FOUR STORY STRUCTURE, INTERIOR RENOVATIONS ON THE THIRD FLOOR OF APPROXIMATELY 14,264 SQ FT",237000.0,,,
53,7797,2/12/2016,15-B-04055,21,0022J00138000000,"1650 METROPOLITAN ST, PITTSBURGH, PA 15233",UPMC PRESBYTERIAN SHADYSIDE,MASCARO CONSTRUCTION COMPANY LP,"IN A FOUR STORY STRUCTURE, INTERIOR RENOVATIONS ON THE THIRD FLOOR OF APPROXIMATELY 14,264 SQ FT",237000.0,,,
54,7916,2/18/2016,15-E-03293,23,0024P00216000000,"950 PROGRESS ST, PITTSBURGH, PA 15212",SB DEVELOPMENT LP,MILLER ELECTRIC CONST. INC.,ELECTRICAL WORK FOR CONVERSION TO MULTI-FAMILY (151 RESIDENTIAL UNITS),2700000.0,,,
55,7934,2/18/2016,16-M-00070,23,0024P00216000000,"950 PROGRESS ST, PITTSBURGH, PA 15212",SB DEVELOPMENT LP,,"TWO 7.5' X 19.41' ROOFTOP UNITS (RTU1 & RTU 4) ONE 7' X 10.5' (RTU 2) AND ONE 7' X 10.16' RTU (RTU3) AND 30 2' X 2' EXHAUST FANS AND 5 2.5' X 12' CONDENSING UNITS (UNITS 1, 2, 4, 5, 6) AND ONE 2.5' X 4' CONDENSING UNIT (UNIT 3) ON ROOF OF 6 STORY STRUCTURE",616500.0,,,
56,8036,2/22/2016,15-B-03976,16,0030B00200000000,"3400 S WATER ST, PITTSBURGH, PA 15203",UPMC PRESBYTERIAN,MASCARO CONSTRUCTION COMPANY LP,"FOUNDATION AND SUPER STRUCTURE FOR A TWO STORY ADDITION, FOUNDATION FOR NEW HYDROTHERAPY POOL AND FOUNDATION AND SUPERSTRUCTURE FOR NEW ENTRY CANOPY AT EXISTING BUILDING.",2172331.0,,,
59,8037,2/22/2016,15-B-03750,14,0052N00176000000,"4800 FORBES AVE, PITTSBURGH, PA 15213",PENNSYLVANIA HIGHER EDUCATION FACILITIESAUTHORITY,MASCARO CONSTRUCTION COMPANY LP,INTERIOR RENOVATIONS AND ONE NEW LOUVER ON EXTERIOR,1302281.0,,,
60,8102,2/24/2016,15-B-03932,22,0008J00021000000,"400 NORTH SHORE DR, PITTSBURGH, PA 15212",NORTH SHORE ENTERTAINMENT PARTNERS LP,MASCARO CONSTRUCTION COMPANY LP,INSTALL 11 FT BY 49 FT SCULPTURE IN PUBLIC PLAZA AREA,824666.0,,,
61,8170,2/26/2016,15-S-00429,2,0008S00168000000,"12 8TH ST, PITTSBURGH, PA 15222",GENERAL LABORERS & MATERIAL HANDLERS,FIRE FIGHTER SALES & SERVICE,RELOCATE SPRINKLER HEADS (3RD & 5TH FLOORS),19675.0,,,
62,8262,3/1/2016,15-E-03338,2,0008S00168000000,"12 8TH ST, PITTSBURGH, PA 15222",GENERAL LABORERS & MATERIAL HANDLERS,FERRY ELECTRIC COMPANY,ELECTRIC ASSOCIATED WITH TENANT FIT-OUT,200000.0,,,
63,8709,3/16/2016,16-M-00125,22,0023M00012000000,"320 E NORTH AVE, PITTSBURGH, PA 15212",ALLEGHENY GENERAL HOSPITAL,RUTHRAUFF SAUER,HVAC ALTERATIONS FOR 14-B-03956,50000.0,,,
64,8870,3/21/2016,16-F-00082,2,0008S00168000000,"12 8TH ST, PITTSBURGH, PA 15222",GENERAL LABORERS & MATERIAL HANDLERS,FERRY ELECTRIC COMPANY,RENOVATION OF FLOORS 3-5 FOR OFFICE USE,15000.0,,,
65,9047,3/28/2016,16-E-00706,22,0008L00008000000,"115 FEDERAL ST, PITTSBURGH, PA 15212",SPORTS & EXHIBITION AUTH OF PITTSBURGH,,ELECTRIC ALTERATIONS,650.0,,,
66,9049,3/28/2016,16-E-00651,22,0008L00008000000,"115 FEDERAL ST, PITTSBURGH, PA 15212",SPORTS & EXHIBITION AUTH OF PITTSBURGH,,ELECTRICAL WORK ASSOCIATED WITH HOOD PERMIT 16-M-00262,500.0,,,
67,9062,3/28/2016,16-E-00651,22,0008L00008000000,"115 FEDERAL ST, PITTSBURGH, PA 15212",SPORTS & EXHIBITION AUTH OF PITTSBURGH,,ELECTRICAL WORK ASSOCIATED WITH HOOD PERMIT 16-M-00262,500.0,,,
68,9064,3/28/2016,16-M-00262,22,0008L00008000000,"115 FEDERAL ST, PITTSBURGH, PA 15212",SPORTS & EXHIBITION AUTH OF PITTSBURGH,BRUCE'S REFRIGERATION & SUPPLY,INSTALL NEW TYPE 1 HOOD EXHAUST SYSTEM,15000.0,,,
69,9188,3/30/2016,16-S-00104,22,0008L00008000000,"115 FEDERAL ST, PITTSBURGH, PA 15212",SPORTS & EXHIBITION AUTH OF PITTSBURGH,ADVANCED FIRE COMPANY INC,INSTALL ANSUL SYSTEM,2300.0,,,
70,9206,3/30/2016,16-F-00107,22,0008L00008000000,"115 FEDERAL ST, PITTSBURGH, PA 15212",SPORTS & EXHIBITION AUTH OF PITTSBURGH,,FIRE ALARM ASSOCIATED WITH HOOD PERMIT 16-M-00262,200.0,,,
71,9210,3/30/2016,15-B-04057,2,0001D00080000000,"625 LIBERTY AVE, PITTSBURGH, PA 15222",LIBERTY AVENUE HOLDINGS LLC,IKM INCORPORATED,"ON A 32 STORY STRUCTURE, INTERIOR RENOVATIONS ON THE 31ST FLOOR OF APPROXIMATELY 5,465 SQ FT",959000.0,,,
72,9215,3/30/2016,15-B-04057,2,0001D00080000000,"625 LIBERTY AVE, PITTSBURGH, PA 15222",LIBERTY AVENUE HOLDINGS LLC,MASCARO CONSTRUCTION COMPANY LP,"ON A 32 STORY STRUCTURE, INTERIOR RENOVATIONS ON THE 31ST FLOOR OF APPROXIMATELY 5,465 SQ FT",959000.0,,,
73,9297,4/1/2016,16-M-00412,22,0008L00008000000,"115 FEDERAL ST, PITTSBURGH, PA 15212",SPORTS & EXHIBITION AUTH OF PITTSBURGH,,INSTALL NEW HOOD FOR PIZZA OVEN (GAS FIRED),24000.0,,,
74,9324,4/1/2016,16-S-00118,22,0008L00008000000,"115 FEDERAL ST, PITTSBURGH, PA 15212",SPORTS & EXHIBITION AUTH OF PITTSBURGH,PFE FIRE AND SAFETY CORPORATION,ANSUL SYSTEM ASSOCIATED WITH 16-M-00298,700.0,,,
75,9418,4/6/2016,16-B-00135,3,0009R00194000000,"1435 BEDFORD AVE, PITTSBURGH, PA 15219",ENERGY INNOVATION CENTER LP,JAMES CONSTRUCTION,TENANT FITOUT OF 3223 SQ FT FOR OFFICE (LIMITED) ON 1ST FLOOR IN 2 STORY STRUCTURE,112000.0,,,
76,9419,4/6/2016,16-B-00134,3,0009R00194000000,"1435 BEDFORD AVE, PITTSBURGH, PA 15219",ENERGY INNOVATION CENTER LP,JAMES CONSTRUCTION,TENANT FITOUT OF 2340 SQ FT ON 1ST FLOOR FOR OFFICE (LIMITED) IN 2 STORY STRUCTURE,89000.0,,,
77,9420,4/6/2016,16-B-00223,3,0009R00194000000,"1435 BEDFORD AVE, PITTSBURGH, PA 15219",ENERGY INNOVATION CENTER LP,JAMES CONSTRUCTION,"ON A SIX STORY STRUCTURE, INTERIOR RENOVATIONS ON THE FIRST FLOOR OF BUILDING B OF APPROXIMATELY 1,442 SQ FT",56000.0,,,
78,9439,4/6/2016,16-B-00367,22,0023M00012000000,"320 E NORTH AVE, PITTSBURGH, PA 15212",ALLEGHENY GENERAL HOSPITAL,CPS CONSTRUCTION GROUP INC DBA CONCRETE PRESERVATION SYSTEMS,INTERIOR CONCRETE WORK ON ALL LEVELS OF 7 STORY PARKING STRUCTURE ON EASTERLY SIDE OF HOSPITAL,351288.0,,,
79,9443,4/6/2016,16-SGN-00037,22,0008L00008000000,"115 FEDERAL ST, PITTSBURGH, PA 15212",SPORTS & EXHIBITION AUTH OF PITTSBURGH,SHAMROCK BUILDING SERVICES INC,REPLACE TWO 39.6 SQ FT BUSINESS ID WALL SIGNS AT HOME PLATE ENTRANCE,1500.0,,,
81,9460,4/7/2016,15-E-03317,16,0030B00200000000,"3400 S WATER ST, PITTSBURGH, PA 15203",UPMC PRESBYTERIAN,CLISTA ELECTRIC INC,ELECTRIC ASSOCIATED WITH ADDITION,425000.0,,,
84,9495,4/7/2016,16-M-00198,2,0008S00168000000,"12 8TH ST, PITTSBURGH, PA 15222",GENERAL LABORERS & MATERIAL HANDLERS,,"ONE 7' 6"" X 5' 1 1/4"" CONDENSING UNIT BEHIND PARAPET WALL ON SOUTHEASTERLY CORNER ROOF OF 6 STORY STRUCTURE",70000.0,,,
85,9673,4/12/2016,15-B-03971,16,0030B00200000000,"3400 S WATER ST, PITTSBURGH, PA 15203",UPMC PRESBYTERIAN,MASCARO CONSTRUCTION COMPANY LP,NEW TWO STORY ADDITION TO EXISTING TWO STORY STRUCTURE,2388858.0,,,
88,9711,4/13/2016,16-M-00232,16,0030B00200000000,"3400 S WATER ST, PITTSBURGH, PA 15203",UPMC PRESBYTERIAN,RUTHRAUFF SAUER,"ON A TWO STORY STRUCTURE, ADD ONE 31.46' X 8.333' MUA UNIT ON THE ROOF ON THE SOUTH EASTERLY SIDE",90000.0,,,
91,9783,4/15/2016,16-F-00130,16,0030B00200000000,"3400 S WATER ST, PITTSBURGH, PA 15203",UPMC PRESBYTERIAN,"CLISTA ELECTRIC, INC.",FIRE ALARM FOR ADDITION,17200.0,,,
94,10041,4/21/2016,16-E-00605,2,0001D00080000000,"625 LIBERTY AVE, PITTSBURGH, PA 15222",LIBERTY AVENUE HOLDINGS LLC,SARGENT ELECTRIC,ELECTRIC ASSOCIATED WITH 14-B-01944,20000.0,,,
95,10044,4/21/2016,16-F-00138,2,0001D00080000000,"625 LIBERTY AVE, PITTSBURGH, PA 15222",LIBERTY AVENUE HOLDINGS LLC,M & J ELECTRICAL CONTRACTING,RENOVATION OF EXISTING FIRE ALARM SYSTEM,8000.0,,,
96,10068,4/22/2016,16-F-00142,22,0023M00012000000,"320 E NORTH AVE, PITTSBURGH, PA 15212",ALLEGHENY GENERAL HOSPITAL,PRECISION ELECTRICAL,FIRE ALARM DEVICES 01 LEVEL NW,2500.0,,,
97,10118,4/25/2016,16-B-00726,3,0009R00194000000,"1435 BEDFORD AVE, PITTSBURGH, PA 15219",ENERGY INNOVATION CENTER LP,JAMES CONSTRUCTION,"ON A ONE STORY STRUCTURE (BUILDING B) , INTERIOR RENOVATIONS FOR TENANT FITOUT OF 1573 SQ FT",59690.0,,,
98,10119,4/25/2016,16-B-00260,3,0009R00194000000,"1435 BEDFORD AVE, PITTSBURGH, PA 15219",ENERGY INNOVATION CENTER LP,JAMES CONSTRUCTION,TENANT FITOUT OF 2676 SQ FT ON 1ST FLOOR FOR OFFICE (LIMITED) WITH GALLERY AND INCIDENTAL RETAIL SALES (LIMITED) IN 2 STORY PORTION OF 2 AND 6 STORY STRUCTURE,75000.0,,,
99,10159,4/26/2016,15-E-03278,2,0001D00080000000,"625 LIBERTY AVE, PITTSBURGH, PA 15222",LIBERTY AVENUE HOLDINGS LLC,M & J ELECTRICAL CONTRACTING,ELECTRICAL ASSOCIATED WITH INTERIOR RENOVATIONS,200000.0,,,
100,10400,5/4/2016,16-S-00156,2,0001D00080000000,"625 LIBERTY AVE, PITTSBURGH, PA 15222",LIBERTY AVENUE HOLDINGS LLC,SCALISE INDUSTRIES CORPORATION,RELATED TO WORK OF 15-B-04057 ADD AND RELOCATE TO MEET NFPA13 FOR TENANT FITOUTS,10000.0,,,
101,10454,5/5/2016,16-B-00539,16,0030B00200000000,"3400 S WATER ST, PITTSBURGH, PA 15203",UPMC PRESBYTERIAN,MASCARO CONSTRUCTION COMPANY LP,INTERIOR RENOVATIONS OF 3693 SQ FT IN 2 STORY FOOTBALL TRAINING FACILITY,369052.0,,,
104,10509,5/6/2016,16-S-00120,16,0030B00200000000,"3400 S WATER ST, PITTSBURGH, PA 15203",UPMC PRESBYTERIAN,"ABEL FIRE PROTECTION, INC.",ADD/RELOCATE SPRINKLER HEADS,18439.0,,,
107,10817,5/16/2016,16-B-01096,22,0023M00012000000,"320 E NORTH AVE, PITTSBURGH, PA 15212",ALLEGHENY GENERAL HOSPITAL,MASCARO CONSTRUCTION COMPANY LP,INTERIOR RENOVATION TO THE 6th FLOOR. EXTERIOR RENOVATION TO INCLUDE REPLACEMENT WINDOWS FOR THE 6th FLOOR,647950.0,,,
108,10957,5/19/2016,16-M-00478,2,0001D00080000000,"625 LIBERTY AVE, PITTSBURGH, PA 15222",LIBERTY AVENUE HOLDINGS LLC,"ENVIRONMENTAL AIR, INC.","(7) NEW FPBS & (3) NEW VAVS WITH HOT WATER REHEAT; NEW HOT WATER PIPING TO NEW BOXES; NEW MEDIUM AND LOW PRESSURE DUCT SERVING BOXES; NEW EXHAUST DUCT, GRILLE, AND CONNECTION TO EXISTING; INSULATION, NEW GRDS; CONTROLS; SYSTEM BALANCE",34000.0,,,
109,11551,6/6/2016,16-E-01144,22,0023M00012000000,"320 E NORTH AVE, PITTSBURGH, PA 15212",ALLEGHENY GENERAL HOSPITAL,,ELECTRIC ASSOCIATED WITH 16-B-01096,200000.0,,,
110,11731,6/9/2016,16-S-00219,22,0023M00012000000,"320 E NORTH AVE, PITTSBURGH, PA 15212",ALLEGHENY GENERAL HOSPITAL,SIMPLEX GRINNELL LP,"NEW SPRINKLER MAIN, LINES & SPRINKLERS",15225.0,,,
111,11754,6/9/2016,16-B-01183,14,0052N00176000000,"4804 FORBES AVE, PITTSBURGH, PA 15213",PENNSYLVANIA HIGHER EDUCATION FACILITIESAUTHORITY,LANDAU BUILDING CO,INTERIOR RENOVATIONS TO THE THIRD FLOOR OF A 6 STORY STRUCTURE,151977.0,,,
112,11780,6/10/2016,16-M-00582,22,0023M00012000000,"320 E NORTH AVE, PITTSBURGH, PA 15212",ALLEGHENY GENERAL HOSPITAL,RUTHRAUFF SAUER,HVAC ASSOCIATED WITH 16-B-01096,80000.0,,,
